year,term,score
2007,role,0.40916776012746625
2007,today,0.3428976110082172
2007,democracy,0.33430489426807325
2007,country,0.27913873608121065
2007,today,0.7080947835615731
2007,honour,0.7061173963958749
2007,contribution,0.7354024373405175
2007,success,0.6776306185183978
2007,minister,0.7961538240506035
2007,new,0.6050942806287302
2007,strength,1.0
2007,history,0.5192930985547974
2007,leaders,0.46935809362349223
2007,struggle,0.45668853854047253
2007,south africa,0.3419215078094943
2007,africa,0.3190417118605871
2007,south,0.287706977843072
2007,past,1.0
2007,proud,0.5698776144279026
2007,even,0.5343074153540671
2007,nation,0.47299780132467845
2007,world,0.4074655450631859
2007,strength,1.0
2007,south africa,0.6227332261594619
2007,africa,0.5810628169582026
2007,south,0.5239936371613944
2007,award,0.6093819793823758
2007,progress,0.5676345030989108
2007,even,0.5535744521703205
2007,spirit,0.5298156250151667
2007,award,0.5209850050450707
2007,continue,0.5006792962296307
2007,make,0.44406111103650786
2007,visit,0.4346273927302019
2007,place,0.3975903469868244
2007,need,0.3897148871012452
2007,help,0.36570108168810556
2007,work,0.3576523231255668
2007,take,0.3482033062468775
2007,thank,0.34386806245547874
2007,commitment,0.6682744530225156
2007,live,0.40048452483410857
2007,leadership,0.3923142388045055
2007,continent,0.38058569182226876
2007,development,0.307026822960572
2007,president,0.6534258738360329
2007,organisation,0.4133667226044005
2007,general,0.4089761931540947
2007,friends,0.36385724608393466
2007,national,0.3201702015339856
2007,social,0.868973708454155
2007,people,0.49485825648910153
