term,score
people,34.829684460962156
south,34.6931645480867
freedom,29.415087241881736
country,28.892020472126987
peace,28.685448787415307
africa,27.81460195294916
south africa,26.693433706427246
apartheid,21.06825240683465
hope,19.02473609189857
democracy,18.63299747848467
violence,18.591941400806522
democratic,18.429107823369037
political,18.19172383279003
ensure,17.99723451231386
free,17.35786683184652
justice,17.22726029705688
human,16.601508481335074
government,15.640715399804016
process,15.271478546028844
anc,14.581159433330834
honour,14.116852248246461
elections,14.041375892106627
future,13.555654188108699
life,13.248952932153815
national,13.079347018029736
new,12.71158754976715
society,12.605046126163922
african,12.062321013704697
economic,11.978030602453767
take,10.942872268824603
forces,10.592201544045382
international,10.49759621085208
system,10.399278895220112
struggle,10.270843104559663
today,10.215610666877303
right,10.178438314716551
support,10.037054106173752
community,9.956099961853111
opportunity,9.43699916053787
development,9.40974555453019
friends,9.375389372407204
role,9.237587035610916
commitment,9.045723771395553
world,8.994516304827766
non,8.992367357151139
war,8.97316523912709
place,8.928744361869358
order,8.831022480100604
social,8.689298072632978
economy,8.67692568647348
common,8.598694510112729
racial,8.449335560791816
together,8.410284920181011
africans,8.39095896870987
want,8.354697779816167
help,8.30368913584781
vision,8.272102717873345
south africans,8.232305462849993
rights,8.189821837915707
humanity,8.061238180466798
need,7.952631194431049
united,7.928331107387843
years,7.916657057940761
create,7.740862448345877
therefore,7.700132471718801
business,7.580488684022869
security,7.569750036890106
thank,7.540678932875632
history,7.491674017035583
confidence,7.424783421469921
prosperity,7.3811280073344125
distinguished,7.349999509398978
hand,7.260408033359024
peaceful,6.99630916267481
movement,6.962202351549625
every,6.94282795997627
whole,6.856452989397257
crime,6.7657160187327055
education,6.751361364181381
special,6.707611715662675
south african,6.550638339831601
address,6.48354086679758
region,6.374232569342902
express,6.282484666818847
award,6.153655211827849
make,6.113546646763006
good,6.091906029426952
celebrate,6.0788189215550466
dignity,6.00191880285221
poverty,5.99925719522999
millions,5.970524020863708
continue,5.912075546305578
ladies gentlemen,5.886521555382124
gentlemen,5.8742578055907435
ladies,5.850063269149036
within,5.849564991396657
indeed,5.836920442306113
party,5.7864367982550595
strength,5.786053957235688
public,5.712504031582418
among,5.7026113824865305
nation,5.679100955421745
share,5.66607896660468
time,5.6079743514581
force,5.445653151094299
welcome,5.361288763262705
honoured,5.325019075374488
state,5.319050855502587
success,5.283083144189231
growth,5.277589324795831
work,5.182234979166025
build,5.176330592425967
committed,5.144230949966952
respect,5.107561601193448
end,5.087811820413369
contribution,5.079894443777489
die,5.0528519677443935
interest,5.034441270615426
citizens,4.960764719926025
organisation,4.94903779790252
whose,4.911601003363481
past,4.8895155858054205
still,4.8357047458471065
trade,4.779821231788469
lives,4.773853700127449
nations,4.748890163367249
even,4.682947511364895
peoples,4.673414181936099
africas,4.650582483809428
human rights,4.641421889593249
appreciation,4.635606598571934
conditions,4.61449957588002
benefit,4.44300583941241
first,4.394969945764633
live,4.35693495509254
children,4.28122322608275
investment,4.22263835929392
opportunities,4.169260220767214
stability,4.095578114189927
unity,4.089745670497074
women,4.085356127092628
others,3.89420609636572
people south,3.8909897827636737
join,3.862606523053603
able,3.8356809165134953
resources,3.8317646478155343
land,3.7650181669267484
men,3.7368378378772182
towards,3.694213753451515
long,3.65569083366545
bring,3.6336537518350918
occasion,3.582934246184431
general,3.4744797016915454
efforts,3.4261454993417746
southern,3.312185147008589
progress,3.3118715059859314
guests,3.290100346668523
shared,3.2877249187414295
parties,3.24567995280117
care,3.2266880031417235
building,3.2157960363840474
take opportunity,3.1329781062618602
distinguished guests,3.1269434903577427
fact,3.0694217631023646
pleasure,3.0660265752932476
privilege,3.0578044241993276
communities,3.0186576761687993
spirit,2.9667723219068534
making,2.6889851572122865
year,2.586784280316089
conflict,2.5815305884811073
leaders,2.570006656163111
health,2.562543255155126
two,2.5418365553571673
relations,2.429135530746202
leadership,2.4027934065415217
countries,2.4010821369181037
including,2.384534090045527
president,2.375652439939701
continent,2.244546146813392
hands,2.16157393101571
partnership,2.0560792232171523
amongst,1.935989715224304
pride,1.811335949114104
proud,1.7576891552414626
guests ladies,1.5864186585354094
honourable,1.505944561490324
minister,0.7655980351893333
van,0.674899161957919
achievement,0.41053985503809665
van die,0.3783035266774102
operation,0.2395611609753234
