term,score
peace,56.12744366822011
people,46.904796618768124
violence,45.47807737569965
country,41.36753938009445
freedom,40.992815427279105
apartheid,38.45585331286428
south,36.05809275818826
democracy,33.344407609333565
political,28.124604179114783
africa,27.684086249003066
south africa,27.205798988391642
justice,24.629154745734024
anc,24.611695391164204
hope,24.312972960582254
struggle,23.19058444357567
free,22.684408432380298
human,22.497541479496913
government,20.553797963605437
ensure,19.386350568794892
want,18.480399636319515
democratic,18.02418621323304
future,17.957749724412714
process,17.75072521827901
national,17.71140638617215
victory,17.570210473507178
forces,17.56285985046622
war,17.223999948499372
commitment,16.725186572770944
need,16.632859076880273
life,16.43184623758418
society,16.42934459425956
international,16.421646673978742
cannot,16.38475326741117
together,16.32678687217623
economic,15.26279890419458
oppression,15.097777377502258
party,15.050876553577307
honour,14.92554227740936
african,14.83945533568052
racism,14.791443657778235
humanity,13.46863904655574
support,13.207190396930748
thank,12.853118158374656
new,12.531955284210254
crime,11.914378771334334
address,11.673679177539736
take,11.60474092938139
community,11.60447141415618
millions,11.561526901890176
business,11.54311574327331
white,11.502870747599104
problems,11.37461578641013
dignity,11.259396686724262
even,11.129246526173414
past,11.09335514151143
every,10.98318497219837
order,10.970785674130255
create,10.897156541378648
death,10.8045264009351
system,10.785189172030066
world,10.74927852776619
education,10.736385840214496
today,10.508352604642699
make,10.485357649987078
fear,10.425135496796772
non,10.360451450463332
success,10.276885752236115
security,10.24287013855104
peaceful,10.073938418910297
opportunity,10.05887519146328
vision,9.969218472331692
years,9.933575619652572
hand,9.928381818270587
friends,9.814346502319637
racial,9.802255138677548
special,9.796222499876253
force,9.7784229360975
play,9.589371572586435
rights,9.582258676693062
right,9.52445432334341
challenge,9.503700927602656
committed,9.363211569462669
bring,9.313909904005797
role,9.296470779205787
therefore,9.164759154720162
common,9.032174265931527
social,9.018546619275615
accept,9.004224408869717
united,8.953732983411932
still,8.905685807215798
among,8.85269826405991
good,8.742082077436006
south african,8.711567014767402
continue,8.68713139373229
celebrate,8.653416392173918
poverty,8.64682894517607
africans,8.446062176727313
confidence,8.415313976781373
help,8.381928388209948
time,8.35033279383119
south africans,8.312387928295303
die,8.167302764711819
parties,8.15914966533489
lives,8.137350690242377
prosperity,8.010557195992071
live,7.891540020502776
development,7.706503136866084
movement,7.686920776327253
growth,7.610060934384689
place,7.603633928066792
dear,7.5515285376370125
end,7.5442363218373245
progress,7.208725165919592
share,7.173862931799612
history,7.031793583628285
distinguished,6.908115846492737
stability,6.827715509072935
matter,6.821844051844429
others,6.753758363441161
efforts,6.6858798539941
respect,6.593270708632909
long,6.555639583699293
nation,6.538027456118626
human rights,6.52810904263297
critical,6.461040570294185
greater,6.34921520492149
work,6.315802449604274
within,6.175180279335941
strong,6.173285347429842
towards,6.130261601037095
greatest,6.097277087798099
fight,5.98460996403704
children,5.939005765501573
contribution,5.936433759703489
able,5.881598531292396
welcome,5.871866940868639
president,5.861903162433803
region,5.853076385395777
poor,5.815813300250036
leadership,5.783651948553632
build,5.734128579244208
strength,5.612977599513252
award,5.558522717699156
always,5.488199241831069
resources,5.451645847412728
difficult,5.435556128902884
action,5.421908565739957
honoured,5.297918627593548
clear,5.246164289193768
opportunities,5.07306669265511
leaders,4.945563810122226
year,4.938299880123243
occasion,4.854988033670917
women,4.8482755658808525
join,4.820098671993702
men,4.579040290636557
whose,4.5339756960801605
privilege,4.506807458909672
care,4.405408189813804
spirit,4.3733017655561675
communities,4.265029242294414
ladies gentlemen,4.208010883419222
gentlemen,4.198692282255022
ladies,4.192539198763757
challenges,4.163613482994101
face,4.108157566693786
land,4.091507665083758
conditions,3.9077579031131258
amongst,3.7886780783613503
first,3.717957812201997
peoples,3.6443920069413465
two,3.5974153693521718
distinguished guests,3.516078007117285
conflict,3.5119105647287983
guests,3.3569827556337293
enjoy,3.335656870044444
achieved,3.2595191011629896
state,3.022285847577761
shared,2.7727739056754315
prison,2.7474859344871723
police,2.7353530093099
countries,2.6674063367672036
pleasure,2.6551974776795872
nations,2.6449125849264825
indeed,2.565903382002423
suffering,2.5523910201854076
health,2.487430556002028
public,2.477311020239011
young,2.4174536631352486
building,2.231052089722959
hands,1.7964423111383447
van,1.5047195303182108
continent,1.1206185117754899
achievement,0.9725467937464207
co,0.9493211235140446
honourable,0.9312723640770116
van die,0.8028743038943855
en,0.7584295157749076
proud,0.6691489728263527
powerful,0.6236003217591679
