term,score
violence,32.24438934234169
people,31.054438767018237
country,20.134808471173102
freedom,17.22545071611992
south,16.019302812491304
peace,15.792611434091892
anc,15.461691584050321
africa,12.750761138973802
government,11.944998076940086
political,11.927773534680608
support,11.651315128202892
apartheid,11.492653686806493
south africa,10.91634132407776
state,10.088919745040574
take,7.921455257911741
democratic,7.883155220795907
african,7.868213748471686
free,7.648764925786132
international,7.581567603248448
opportunity,7.540819312326832
democracy,7.155719182934044
non,7.090157014160001
world,6.768450664112498
human,6.761239394526367
process,6.7531146796253285
today,6.638416647303354
forces,6.543949812536151
national,6.511053278234208
president,6.500318084431941
want,6.162106536782455
party,6.153783739558221
south african,6.0620129595347585
life,6.025159403285343
end,5.981996337876348
racial,5.970387520952311
society,5.9679297861251355
ensure,5.897532328896849
security,5.879287910697556
honour,5.832275657769426
war,5.749198715776614
help,5.635143808837142
continue,5.616372455812726
need,5.6015482092315185
create,5.422488054685144
lives,5.325105156112878
appreciation,5.317099333457509
address,5.113119085318437
community,5.031303759575853
pleasure,4.94596852121963
even,4.876791665618974
place,4.848377838763402
new,4.838455666630803
bring,4.811857643610308
thank,4.764624596068149
elections,4.711758201316127
occasion,4.629878482147504
communities,4.603422342126805
including,4.474947858531291
work,4.366186206102952
system,4.340651239244799
future,4.221148236414853
economic,4.2168656459160605
distinguished,4.1080986712291585
express,4.085851182134414
hope,4.078866441872638
africans,4.067560583472472
united,4.036638800190569
time,3.9379566036039986
parties,3.877846056067094
gentlemen,3.8465713820794534
economy,3.837776479881538
south africans,3.78981468769306
within,3.7652958566930472
land,3.7607695653663136
committed,3.696157027248482
justice,3.6879242835515234
commitment,3.6869999983533437
movement,3.6624034816068147
women,3.6091645240024097
public,3.5233511284606704
take opportunity,3.453089597698395
make,3.4409907962929407
years,3.398371792599718
general,3.357703639416105
fact,3.3334304551551766
poverty,3.323036068120686
force,3.3131604474942824
conditions,3.3009383131011454
award,3.258021564006352
respect,3.2310775010913897
hand,3.223740258930206
honoured,3.2195619828470354
therefore,3.2142195936348363
friends,3.084572905379151
common,3.04453240388331
indeed,3.025921210187979
among,3.020777090515522
long,2.9676450282503697
whole,2.9493346333337973
right,2.9435971767196647
able,2.9293631859261553
every,2.878381368422113
privilege,2.834645829442095
role,2.7920227510105433
success,2.7664346023945736
children,2.7463912235853973
welcome,2.726025992210968
share,2.7201782326478714
millions,2.7078493964708077
hands,2.67858732890016
others,2.654282881771195
ladies gentlemen,2.6484648508056607
ladies,2.63206153202045
peoples,2.631969421932238
nations,2.600109161560964
live,2.5992662886239097
still,2.5632703380489392
men,2.5046133303421314
humanity,2.5010527875007296
rights,2.498295072289072
order,2.4612427171234628
whose,2.4190401325807365
struggle,2.351621073934145
first,2.2805352243497845
organisation,2.276275579991856
strength,2.2750972653995096
two,2.267026507668347
good,2.2585825332960288
distinguished guests,2.2088862853621887
guests,2.1141598703706554
proud,2.0891416557347466
contribution,2.086426732181268
development,2.083459131307242
die,2.058706302830932
region,2.026372842490164
prosperity,2.0256978717454546
leaders,2.024666398957904
minister,1.968602130430472
making,1.9380462548437882
social,1.9254720986867706
spirit,1.8636320397748685
peaceful,1.8615237226717243
together,1.8610832696620863
benefit,1.8239524927072517
past,1.7852016299626825
africas,1.7831304755564241
confidence,1.7730478907175096
health,1.7630723232361962
continent,1.716848590394423
education,1.6889463216002354
leadership,1.5618539830500904
stability,1.545479518360967
progress,1.5436661236208538
history,1.538089629378895
achievement,1.4519148133502393
towards,1.4366155463066395
citizens,1.405966408689559
build,1.4053207707774504
amongst,1.3841020546761307
honourable,1.3586395205096395
special,1.3431747744499902
nation,1.242682500334444
shared,1.1891465903999947
co operation,1.1599415696432516
vision,1.1544931238275067
operation,1.148492945586137
co,1.1054547975843325
people south,1.10383973679994
guests ladies,0.9807381063625942
crime,0.9676792855455629
growth,0.9124594530796282
care,0.9082461366496992
year,0.8611539057563118
business,0.8522697389255378
human rights,0.8389023233313242
interest,0.8210243300124682
celebrate,0.7934837646319555
dignity,0.7915811562235255
southern,0.7721572464115716
join,0.7327135755406139
pride,0.7304146909503053
investment,0.7188255176906884
conflict,0.6953658529213265
unity,0.693467177251231
opportunities,0.48971126062848014
countries,0.46061315877648146
building,0.4380004401355497
resources,0.4316818587497725
relations,0.3710606262304556
