term,score
children,15.91847349909432
country,10.019213405690936
people,9.773803516326522
world,9.486575197858315
support,8.683806772059645
society,7.700288640324853
work,7.678766473686213
honour,7.398936204617716
gentlemen,7.349825100497849
south,6.699803790634301
african,6.31725929069369
war,6.158366047052493
future,6.051182034085048
thank,5.851825376528037
hope,5.741165792811222
freedom,5.733002741456271
women,5.488217930602346
opportunity,5.392483920788933
together,5.382355477649232
human,5.314688416998847
celebrate,5.265083407963879
building,5.242326604211231
years,5.221557863494759
help,4.961483570921238
first,4.843191674650011
long,4.775237165294915
even,4.736092011239355
south african,4.658364446737334
life,4.6418192816251445
nation,4.601551498680805
others,4.451692759818734
respect,4.425509137587103
year,4.253556335074746
national,4.213093857754198
build,4.187043475214864
president,4.076406174020562
africa,4.008768053066986
death,3.963372660314274
today,3.941169887104307
award,3.864045686217467
violence,3.8408440203591714
privilege,3.794313418232473
proud,3.786669986459188
leaders,3.779424482949711
conflict,3.751039356344579
towards,3.685651165234092
opportunities,3.6375845017032735
south africa,3.63483126422411
occasion,3.607534296017158
public,3.497769334010692
lives,3.386315113386982
resources,3.36485090199675
need,3.313443672242558
confidence,3.304714911031772
special,3.2930422524122154
honoured,3.1831521280400805
time,3.0621293886812557
land,2.922551992560023
want,2.8997905856083275
peace,2.8684824598717538
pleasure,2.846008547261475
co,2.8278772562937258
process,2.796879532120583
continue,2.751770525863648
two,2.7207919891147756
community,2.7142058553006274
apartheid,2.6292788962898745
movement,2.546815438914165
hand,2.491099386284919
able,2.4815658739376056
free,2.4810082332882875
strength,2.4487384726267782
new,2.4442332649138256
make,2.4441205175179537
live,2.432888818420412
good,2.422967904329184
amongst,2.4127155617736498
every,2.408120626803031
organisation,2.4054377910406726
united,2.3790387368130794
share,2.2541572148867592
history,2.246214215213661
appreciation,2.223216194423408
join,2.2076247310242194
care,2.2008669638438514
spirit,2.1996537844573387
racial,2.1536208009958155
take,2.142512631091707
democratic,2.0026091754506967
therefore,1.9816625412295887
pride,1.9441728526972506
welcome,1.9334091414726422
dignity,1.922152915123406
education,1.9037463273811412
government,1.8810677068640147
co operation,1.8342433119514965
operation,1.8161393292532404
place,1.7888390085686614
indeed,1.7875035915942754
struggle,1.7869295257531073
leadership,1.7741773222484714
among,1.7590616944970878
social,1.7173110733035546
international,1.6683620848908463
achievement,1.6682029956622035
commitment,1.6681103232294792
fact,1.5688010883641659
business,1.5619643635402454
democracy,1.5430655060116523
justice,1.5263269349924458
men,1.4737876919119184
poverty,1.465780393961564
peaceful,1.4317248919401648
friends,1.41676718754756
contribution,1.3626553208679835
political,1.352160386287391
making,1.3494762056342744
vision,1.345401383140405
problems,1.3356507729934786
right,1.3101438693613838
partnership,1.3045029774849524
progress,1.279811586199279
ensure,1.2674250119389194
human rights,1.2559609822301314
development,1.2438079239608413
order,1.209829929400895
role,1.1593227851294623
possible,1.1555351129262728
humanity,1.1341723486811373
rights,1.1291832655000618
region,1.1289061815398855
still,1.0651664178100921
state,1.054996110774407
continent,1.0500358996708095
nations,0.9702952377848961
challenges,0.9697780431711165
committed,0.9696926683917373
anc,0.9315708688208879
forces,0.9221970411936937
past,0.9090799021770917
south africans,0.8927393979237607
take opportunity,0.8925229629992404
africans,0.873236712172384
conditions,0.8668985937522412
health,0.8633339215008511
common,0.8516692625384967
party,0.8182541341238504
within,0.8104552486615978
success,0.7941132156921151
growth,0.7941035583641944
countries,0.7422122689112646
unity,0.7333884098317353
efforts,0.7297152427758122
achieved,0.7073496076369883
whose,0.6900865068354318
end,0.6891089728633955
peoples,0.6769051895254262
parties,0.628142272700223
citizens,0.6033896229594102
southern,0.46522833231849364
bring,0.4535171777609999
elections,0.45327756499083655
force,0.42588799998364185
express,0.42318745213156245
create,0.3974395590442998
economy,0.39553328899055107
africas,0.3814534098553731
shared,0.3782767053975231
van,0.37515701323249334
interest,0.3743450389508388
whole,0.3719590335502714
visit,0.36241243270942414
stability,0.347754752767756
security,0.3126569748031248
people south,0.2814572262281646
hands,0.25840691641817554
