term,score
peace,2.509688459926355
honourable,1.9550933557201267
process,1.7186577951988162
leadership,1.583449028450273
president,1.5156918587606556
support,1.3647218913270238
world,1.3059256780609354
international,1.2970678824315525
community,1.2785728366980391
region,1.111750947295425
united,1.0537519787032061
security,1.008862444097469
political,0.9944427637318572
amongst,0.956911108626193
appreciation,0.8320698836272171
free,0.7985042586569602
nations,0.7637308819646156
progress,0.6681889039552742
general,0.6645022206535502
human,0.6255810261917807
freedom,0.6019891601239168
thank,0.5949881013959801
african,0.5792359356116555
country,0.5489159768502315
visit,0.5170355043728473
continent,0.4883457598237495
proud,0.48304997966069413
parties,0.48279606539595943
countries,0.4468459877354491
achievement,0.43830373525092203
confidence,0.41667177429877145
first,0.40955443710240735
force,0.4076839987967464
making,0.40319270293994647
success,0.38204961973038887
south africans,0.3798521585041306
efforts,0.3751201897309007
africans,0.37159806707195103
privilege,0.36675525230233563
leaders,0.3589941553838259
prosperity,0.3578731403888945
share,0.3564648668702786
special,0.35531991971514687
common,0.35474160203445365
able,0.3470097723752255
society,0.33569794537255043
today,0.3352078965883033
make,0.32911317971191206
conflict,0.2968147848918151
peaceful,0.2861852150096844
honour,0.2811046881166028
long,0.27576176397628893
time,0.25354107995358804
south,0.24409048690835186
people,0.21990389651918218
africa,0.1774024238791159
