term,score
people,6.1478782570647255
freedom,5.67932309735393
government,5.3075607913240015
country,4.122602574157184
political,3.737163561042423
africans,3.6453137858001297
action,3.4628971592821842
even,3.3980037292681056
support,2.411318769697642
african,2.2786327830869557
national,2.173396175005483
work,2.045054526013866
powerful,1.844738661074315
non,1.7605630753839365
future,1.6806327284860758
continue,1.6437936498411818
difficult,1.589949527345107
forces,1.5092634337061384
cannot,1.4881730618664784
time,1.476384955417333
success,1.4317832118260412
fight,1.392862634888311
strong,1.3446898250181656
peaceful,1.335550690920685
violence,1.28004970487092
face,1.202128671615681
africa,1.1376992451249184
live,1.1352435237534273
death,1.1068639163467606
south,1.101959848596173
life,1.0815579623209888
confidence,1.0616983029641818
matter,1.0582939889561793
committed,1.0
role,1.0
long,1.0
want,1.0
need,1.0
efforts,1.0
years,0.9727237848385792
south africa,0.9590347589553236
struggle,0.9432717331567588
poverty,0.9287147428506226
millions,0.8615738801243881
two,0.7551522036146002
strength,0.7151231657541667
every,0.7128604530477793
build,0.6989984676676614
whose,0.69831465209431
world,0.6732026887858411
leaders,0.6619083148416263
friends,0.6327392200715546
end,0.62850207625022
victory,0.6169969945959897
crime,0.5773313530093611
conditions,0.5758426298474858
business,0.5640749188538478
history,0.524794068844685
respect,0.5050169563450219
justice,0.504817965584595
year,0.494016415154749
achieved,0.48624747876298785
community,0.4810732318258121
public,0.4790786235570999
leadership,0.4706704746344731
resources,0.4304998631042515
south african,0.42868448845026047
state,0.427181280386741
white,0.42107919144011235
amongst,0.40952697527184123
nation,0.39215001007075484
challenge,0.38314558787052333
join,0.3687096297164396
young,0.36369084552760483
movement,0.36323345327096807
society,0.30221778062170584
