term,score
apartheid,2.4272028202817717
victory,2.390759671496975
people,2.277757231405761
struggle,2.1890017954691743
white,2.161104281589889
face,2.07278315466443
every,1.49637409339184
live,1.48956761223566
force,1.2652946984119713
fight,1.0
history,1.0
greater,1.0
south africa,0.9850283727336583
africa,0.9270609727174797
south,0.8464608529623063
clear,0.7957085401403441
freedom,0.7377007619205902
within,0.7215186832809078
first,0.7157420896223021
country,0.6866994688711993
difficult,0.6606865647557894
long,0.6165617844259251
movement,0.5917995965498899
confidence,0.571325272837385
war,0.5703279941892884
continue,0.5518524921393632
future,0.5307801243445883
free,0.5179087538659896
action,0.5053923779366213
strength,0.5051576460168979
among,0.4704380559142269
police,0.44466255328109355
efforts,0.44142954385598276
united,0.4386320852887019
men,0.43811170943720446
women,0.4193493625905729
even,0.4137683168245856
children,0.3832058648245967
