term,score
poverty,12.191055430280336
world,10.427176168086808
people,7.923411720297674
hope,6.414411689666847
today,5.23700158283186
suffering,4.551528197358974
millions,4.3633711782794755
want,4.302891602141763
prison,4.1066025164844895
thank,4.082707547917408
justice,3.9620488880353197
life,3.826354946075508
help,3.567841158339359
opportunity,3.4869539043877924
vision,3.4824049155978773
every,3.461093282432894
freedom,3.4135500800881813
struggle,3.3654195277821564
future,3.324077018766925
countries,3.3191967850733057
years,3.2801713643571118
action,3.1980081734737245
africa,3.0760329922284297
cannot,3.019021336300106
need,3.005721840105675
new,2.9481117586284493
commitment,2.9370119299844877
apartheid,2.8413632124750112
leaders,2.723927353361459
dignity,2.693167560838247
friends,2.651492920920494
time,2.5261557927589475
oppression,2.247823174336811
honour,2.1370798168017284
fight,2.1341870631910593
women,2.045320802884385
role,2.0333649527461417
problems,2.0
right,1.9291400425461513
history,1.9207938231277417
support,1.8304711947397942
end,1.7587816838415016
good,1.7255369056305527
respect,1.7245980894018793
south,1.7233005867246396
always,1.717428929871427
society,1.6871827186627555
strong,1.6710666142759432
challenge,1.5974381604523504
free,1.571264460478079
greatest,1.5270550767664706
past,1.5219335438734436
difficult,1.4816227346131823
country,1.4773437948400583
human,1.4642486590943553
even,1.4639668963578885
economic,1.4392227869746765
still,1.4057716703608256
education,1.3636303071057234
spirit,1.2800460402638782
humanity,1.2721010872702891
continue,1.2175678899818412
dear,1.2007044542546095
enjoy,1.1957376231997083
children,1.1727087304057182
two,1.1565019454256102
first,1.1392945729951907
progress,1.117772705880379
live,1.1042378315536243
long,1.093397540613288
movement,1.082495778330844
social,1.0774623663419516
strength,1.07372095084752
make,1.0519916488501482
south africans,1.0483794103064772
africans,1.0226672155179917
share,1.0089943448595577
hand,1.0
care,1.0
towards,0.9701004290169243
public,0.9560431256665909
opportunities,0.9345776659984787
celebrate,0.8344089234379912
fear,0.8158936127683085
south africa,0.7888940285451665
hands,0.7820826873362032
efforts,0.7613124060548715
face,0.7457338876550852
death,0.7409744805812796
white,0.7396372118540309
privilege,0.7302857298024277
honoured,0.7195619766789505
powerful,0.7079933640827681
force,0.7062190852807397
system,0.6874014212885255
challenges,0.6831418248408859
proud,0.6730057910900881
take,0.6568862480642788
ensure,0.6407089547854043
success,0.614309920513784
peace,0.5931340430715228
men,0.590431642771921
poor,0.581836995967212
nations,0.5744174560785781
bring,0.5687945183383571
continent,0.5572617979370802
pleasure,0.5544897860997919
nation,0.5534090684169957
leadership,0.543989643998723
united,0.5365382857840378
others,0.5322487276473276
committed,0.5320518396474312
democracy,0.5186553124521475
confidence,0.5116650343096603
ladies gentlemen,0.5040300529390688
die,0.5039962734071773
gentlemen,0.5029138830506742
conflict,0.5027034577981279
ladies,0.5021768747387276
common,0.4997477101555142
south african,0.49218820838844574
peaceful,0.46621903718976104
work,0.4547587627500897
african,0.43702735676916066
community,0.43538575569276733
political,0.43193534034965136
non,0.431653155240667
build,0.4221116508204264
able,0.4108063161448217
whose,0.3985767893530003
stability,0.37558581376467176
join,0.3749770769657432
place,0.30652091955269983
international,0.281413235550239
