term,score
hope,4.047363856165532
friends,2.8391955416262546
freedom,2.6453042458659537
nation,2.5701166100146313
today,2.3023878725360363
new,2.2213463020462783
world,2.1815891923064146
help,2.0539297859170773
end,2.0
past,2.0
strength,2.0
conflict,1.8490473515800403
even,1.8240938684122276
life,1.772831345223126
live,1.6756639563860833
country,1.582979822344788
commitment,1.5285599906277494
building,1.528010874890258
support,1.4756192689779675
africa,1.3743761773320773
south,1.3235924473532343
continue,1.3187065669390066
african,1.2970749791869016
peace,1.2684678257576865
south africa,1.262876573114558
continent,1.24871555251623
president,1.2446149341892327
place,1.2424609948289456
make,1.202832731425202
organisation,1.2000799679700234
good,1.1934687844800789
peaceful,1.1746957563419576
award,1.1297355236969917
proud,1.0316492985448593
force,1.0178479510749787
human,0.9982514061117242
struggle,0.9723653465307395
together,0.9495655937765913
opportunities,0.9391037262025941
still,0.9366831093059549
role,0.9326982541720878
spirit,0.9187747109502291
others,0.9126024113867899
democracy,0.9090136232993756
general,0.8934802840730356
social,0.8689957248273287
leaders,0.8301553379570871
making,0.8148877031090104
efforts,0.7954307569566001
anc,0.7948185958950535
problems,0.7421031156684879
special,0.7363552628061796
contribution,0.7351179109720037
violence,0.7229524731664025
thank,0.7189847113810177
honour,0.7057180662271993
society,0.6902702861344809
people,0.6864660381777383
success,0.6779392723306101
time,0.6765950982217077
first,0.6716522348641915
work,0.6566007309163319
able,0.635918178263783
create,0.5940459173195375
progress,0.5676299218657835
justice,0.543850082819487
history,0.5189810522037569
welcome,0.5144448015625481
apartheid,0.4898919121725946
international,0.4819503217077382
two,0.4578792919736377
every,0.45539767200989884
education,0.44569412675019304
build,0.43532864599963894
visit,0.43440237180354213
non,0.4317305679566203
south african,0.4248030410863062
communities,0.4233611708197651
challenges,0.41724670148576304
nations,0.4163802610244313
lives,0.4148578011199686
interest,0.4038433622191963
united,0.3950148098841187
leadership,0.39217825650990973
need,0.3902879364644241
growth,0.3844567808654595
movement,0.38099301019867043
ensure,0.3692441198140641
take,0.3479876290919769
public,0.3409960923680865
health,0.33935123531467304
stability,0.3291036728345996
human rights,0.32090168451599616
national,0.32083886578583404
towards,0.314430054873838
children,0.30891150100675896
development,0.3070592971215686
respect,0.2989081486672876
government,0.29522134570341885
rights,0.28850960909854767
