year,term,score
2003,women,0.6327796841089278
2003,society,0.5647763168654247
2003,thank,0.5297335021375661
2003,white,0.4113228936690814
2003,non,0.40188166740530523
2003,racial,0.3897701172162101
2003,role,0.36312641002534424
2003,south africans,0.34587798543140785
2003,africans,0.33746983386807916
2003,democracy,0.3075362651967684
2003,south,0.23963940541233475
2003,society,0.8724302049938044
2003,women,0.48873872100997734
2003,towards,0.8870919808646202
2003,leadership,0.3021739310869229
2003,oppression,0.28965760289368314
2003,peace,0.19456928314367977
2003,prison,1.0
2003,oppression,0.7185300752908581
2003,struggle,0.5429226759763807
2003,people,0.434683216622358
2003,women,0.7273792104569696
2003,therefore,0.6862357351486407
2003,men,0.6389531582526365
2003,women,0.6120902213019612
2003,struggle,0.46592319382651215
2003,long,0.5050233336173228
2003,war,0.4955456180384384
2003,united,0.4729230029385818
2003,world,0.3918856311674293
2003,peace,0.34950745102359143
2003,public,0.7440662450214632
2003,war,0.6681058471676923
2003,within,0.39220680222476173
2003,co,0.3888251319584608
2003,peaceful,0.36890432790539096
2003,war,0.360482302778825
2003,still,0.357277645967932
2003,united,0.3440255890289261
2003,hope,0.31887627147491693
2003,world,0.2850753383883426
2003,critical,0.5944961289481216
2003,leadership,0.5825259610828611
2003,women,0.5542904088383518
2003,leadership,0.4895072272789253
2003,towards,0.4790154402493195
2003,women,0.46578037592245336
2003,proud,0.4632806654164061
2003,peace,0.31519287571472654
2003,work,1.0
2003,first,0.5908889365119083
2003,place,0.5879556807963804
2003,gentlemen,0.552411424689145
2003,honour,0.7213761068202573
2003,thank,0.6925435094698734
2003,live,0.34056420678314603
2003,land,0.33928622112076173
2003,build,0.3151509436066484
2003,respect,0.31404861662267525
2003,past,0.3052024819611963
2003,united,0.2903815154478713
2003,honour,0.276540895601525
2003,justice,0.27597083214396495
2003,south africa,0.23426591497848714
2003,country,0.22441942101290255
2003,africa,0.22035713663537848
2003,freedom,0.21544782680065766
2003,south,0.20156848594420004
2003,greater,0.5339911286275679
2003,even,0.4620280396979247
2003,south africa,0.37619290041954995
2003,country,0.3603810349835687
2003,africa,0.353857667969421
2003,south,0.3236861553994712
2003,celebrate,0.5390709370850829
2003,others,0.5242374917628949
2003,years,0.46855273588976015
2003,work,0.4637196466730517
2003,good,1.0
2003,gentlemen,0.7525140004418763
2003,thank,0.658576251575293
2003,importance,0.5598167372382065
2003,celebrate,0.5470862555367552
2003,south africa,0.3841056252602679
2003,africa,0.36130060045511514
2003,south,0.33049446964349194
2003,occasion,1.0
2003,award,0.4531409985300489
2003,whose,0.44754651500896125
2003,history,0.43284970799175904
2003,years,0.38490702933270393
2003,honour,0.3670188807780155
2003,thank,0.3523495460032531
2003,award,0.8702452621355481
2003,people,0.49261870014305315
2003,make,1.0
2003,award,0.6057693208983395
2003,prison,0.5926748016262351
2003,therefore,0.5308296425178869
2003,award,0.7216740235350618
2003,honoured,0.6922330559534954
2003,award,0.35666687583527373
2003,pride,0.356211888694401
2003,order,0.34506208536167043
2003,accept,0.343204432955946
2003,south african,0.3258220258452624
2003,leaders,0.32030830552531453
2003,african,0.2888802337557038
2003,political,0.27708710049772556
2003,country,0.23443308325341766
2003,south,0.21056253257112362
2003,people,0.2018979940515774
2003,strong,0.7159294583025216
2003,history,0.6981726224470978
2003,award,0.5984905378466829
2003,accept,0.5759004258248974
2003,spirit,0.5569091269163132
2003,award,0.7447877223782515
2003,special,0.6673014675501745
2003,thank,1.0
2003,strength,0.8562295537757515
2003,growth,0.3884868827577673
2003,life,0.3405126916373751
2003,dear,0.5250708932730935
2003,death,0.49097387409942583
2003,share,0.46707483948149636
2003,national,0.4209477592234325
2003,people,0.29646127962569113
2003,pride,0.5672424467182614
2003,first,0.5397779918505431
2003,death,0.5324547670621326
2003,people,0.3215083936504387
2003,dear,0.4962565588756347
2003,death,0.4640306830561572
2003,take,0.4156126291762255
2003,opportunity,0.3982488001085806
2003,government,0.3585543587876576
2003,people,0.28019236326321006
2003,death,0.5258801016084429
2003,even,0.47270438850458274
2003,take,0.47100853379235497
2003,life,0.4210949624184865
2003,people,0.31753845994044877
2003,pride,0.3458710597070815
2003,stability,0.34286793519899966
2003,celebrate,0.3384375305290862
2003,place,0.3274910294996169
2003,long,0.3145243325533049
2003,process,0.31052434552347735
2003,today,0.26762490582907805
2003,democracy,0.2623765471254636
2003,life,0.25996898006924063
2003,country,0.2276274922559386
2003,peace,0.21767033409767056
2003,people,0.19603689649803288
2003,region,0.5302914360376542
2003,indeed,0.515751492191745
2003,today,0.42311851779352677
2003,world,0.38586701039280585
2003,africa,0.35336774238438656
2003,challenges,0.7407178144593521
2003,problems,0.6718162839218478
2003,amongst,0.5412456310166177
2003,leadership,0.5355809381673273
2003,commitment,0.4525646682244338
2003,peace,0.3448596602287977
2003,people,0.31058535284043143
2003,president,0.8094098950895559
2003,special,0.4152442785464444
2003,want,0.4152442785464444
2003,peace,0.7430673334893605
2003,people,0.6692166599099365
2003,party,0.7996946782938068
2003,leaders,0.3963508690019468
2003,national,0.35473483800001315
2003,freedom,0.27849166030434525
2003,parties,0.6430733118728398
2003,african,0.5435749286110835
2003,national,0.539428412805956
2003,united,0.4866233157361721
2003,future,0.4810029781235818
2003,help,0.47274027865929075
2003,hope,0.45104967038270144
2003,people,0.3238899618681806
2003,death,1.0
2003,suffering,0.49432619908449854
2003,racial,0.4800121571651825
2003,oppression,0.46776197857546514
2003,war,0.44549359638699126
2003,country,0.3285789476665409
2003,dignity,0.6980889242960806
2003,human,0.5829060840025401
2003,people,0.415803259977558
2003,society,0.7130834353735371
2003,poverty,0.7010791782643915
2003,action,0.5947928301551043
2003,poverty,0.4949264360567867
