term,score
freedom,5.39470032835685
prison,2.4302120453299536
free,1.880564847239841
cannot,1.814486038555614
years,1.3424401134732635
people,1.3013879384774114
spirit,1.0
violence,1.0
men,0.7676245152334734
greatest,0.751821721049529
long,0.7303494739368664
apartheid,0.6762587235947903
clear,0.6634111925561469
occasion,0.6262886942189321
amongst,0.6129442747144724
south african,0.6107483602020013
history,0.6012782225944644
african,0.5415015409205564
care,0.5375791235761677
hope,0.49621262632785423
world,0.4789641188514642
even,0.46824209741085193
life,0.4664351506983876
land,0.4369535624738203
peace,0.42716934482350305
confidence,0.3967724536792353
south,0.39469621844678043
struggle,0.31089068720133484
