year,term,score
2008,social,0.47718143948790676
2008,leaders,0.4469316775382574
2008,future,0.4355582294101737
2008,nation,0.4229540282100288
2008,country,0.33299521325730796
2008,people,0.3050623808056194
2008,make,1.0
2008,within,1.0
2008,children,0.6395331625978735
2008,together,0.5563664542821338
2008,today,0.5305221036743785
2008,youth,0.5409701807643602
2008,children,0.51006390208225
2008,change,0.504282768999443
2008,society,0.4391867122382675
2008,year,1.0
2008,look,0.7267077462541863
2008,world,0.5351494053719157
2008,people,0.4307098390613409
2008,things,0.7166915720866545
2008,common,0.6973902712971839
2008,children,0.6003255010521615
2008,past,0.58303642723213
2008,future,0.5474283672836695
2008,anc,1.0
2008,back,0.5331946267837853
2008,history,0.47368420318955695
2008,take,0.44574480891748425
2008,nation,0.43874452639516487
2008,people,0.31645153104223184
2008,non,0.8075196420306471
2008,live,0.44584940029087844
2008,every,0.38617397633056494
