term,score
south,67.76305813042207
die,66.27401274752255
africa,57.016893604541714
people,51.37283469750499
freedom,48.98535853768356
country,46.01493631837533
peace,45.34657573375431
life,45.14919068572415
south africa,44.48918797410687
nation,42.80326092818499
crime,41.63358269020506
development,39.053596709583516
today,35.854381577875614
ensure,35.333813947567585
government,32.9310030466333
good,32.03506309882577
growth,31.138709275550745
hope,30.152772637645658
past,28.54804842446587
future,28.427456518837793
new,28.109995345067432
opportunity,27.970264726589974
honour,27.92625703831945
success,26.836831223379583
society,26.559762295123114
struggle,26.423941870927955
welcome,26.361355337322074
van,25.921410459726594
help,25.820522248323908
proud,24.704254089398454
democracy,24.61873701219021
children,24.55646969796457
time,24.333810673269255
anc,24.32660636411559
africans,23.68406773402621
challenges,23.590008051707258
national,23.525824018749613
work,23.308486816984374
justice,23.14713792384344
make,23.11392096806119
special,23.001236457660003
support,22.88982228118829
violence,22.353321974151523
political,22.229888383995668
take,21.60043085519494
together,21.486970575520495
join,20.95680956212749
south africans,20.846999459537948
opportunities,20.59787012782436
thank,20.55355896169682
free,20.53524697863135
economic,20.2905199866579
apartheid,20.16285411564581
hands,20.12175825959894
years,19.931565532847433
progress,19.764091771356213
poverty,19.587155406700635
gentlemen,19.252095136219925
still,19.243652406650323
world,19.079709816731466
friends,18.984554071641842
president,18.963630957008114
commitment,18.874694986045622
therefore,18.678155551421664
challenge,18.238925059213926
efforts,17.956760968236683
problems,17.93164411040539
pleasure,17.909940966500983
women,17.771374461174705
build,17.69981377244525
community,17.56678217557152
even,17.50958024034467
security,17.45910988335731
confidence,17.05923096034248
african,17.055390833925927
war,17.052403708002522
cannot,16.418736173903557
leaders,16.41102785606431
need,16.168049928975265
hand,16.145034505462664
police,15.956528512541315
health,15.788469271143422
conflict,15.74989248762241
prosperity,15.659926356841355
en,15.137172151848528
share,14.757933643769569
pride,14.668546817135343
united,14.622198513009295
lives,14.494515207803902
vision,14.462420349832609
every,14.40496857930463
celebrate,13.906294610738467
human,13.76567352555148
business,13.644452380195318
care,13.609821123940716
communities,13.538061263467725
bring,13.312997470595086
long,13.27458443621232
strength,13.272289183825839
honoured,13.246006630671092
create,13.211772312065428
year,13.202024099069202
resources,13.134397948023395
van die,13.080508719970771
co,12.990172517497417
conditions,12.971307674104498
indeed,12.676337032843202
others,12.488391712098531
education,12.378895330851082
racism,12.106663492949478
critical,11.987711203069596
building,11.895125146495873
history,11.786773899359913
peoples,11.761459400570258
want,11.670185929432993
international,11.455292718630032
achievement,11.440959765489291
privilege,11.396117885777798
countries,11.380822445449965
contribution,11.366572129501757
within,11.339206301232775
spirit,11.17156791994385
accept,11.028148709527649
system,11.022999270328185
continent,10.98818091417019
find,10.975954075616261
democratic,10.944932757511245
poor,10.891568478056056
powerful,10.809359743915191
parties,10.775720604216772
role,10.45780589019996
south african,10.450753837587236
nations,10.36382215159057
greatest,10.320960857683373
oppression,10.296308807171208
strong,10.24098115426112
committed,10.225202640924516
matter,10.216648512427302
party,10.18503463831858
respect,10.082161527678055
dear,10.048624206967762
young,9.922161627113068
occasion,9.891540856680551
achieved,9.861183337405414
public,9.821486283279386
two,9.720203056813421
become,9.641512639065427
shared,9.56944245260572
death,9.505815906498231
place,9.47399711295
men,9.283302627333605
region,9.257409382124719
problem,9.224649157186427
land,9.192289101965265
able,9.035447917284635
enjoy,8.955699057255849
whose,8.926448707014135
rights,8.926139729508366
among,8.885878152931388
order,8.843526104343177
millions,8.838697722803872
prison,8.822848404795652
face,8.805556516131496
fight,8.573427824046787
leadership,8.527092848703754
difficult,8.52052463719387
always,8.518944955084663
importance,8.483107564413634
play,8.418780187668427
common,8.397274392407677
peaceful,8.269445290610296
greater,8.249797445199208
humanity,7.937880587692986
address,7.890171719866975
suffering,7.487566658684298
stability,7.396796475740715
action,7.155719385677308
power,7.01639014944127
clear,6.92433252279917
victory,6.786438370052144
amongst,6.298194331220671
first,6.163672221292753
forces,6.0730442287631075
force,6.042406693467688
live,5.983611942210043
state,5.976648498502831
process,5.92294295247287
social,5.799681477322418
non,5.76773428915415
continue,5.757621335432223
white,5.446790108505657
towards,5.397330550163691
right,5.3027265251826705
human rights,4.57892391488239
fear,4.409558006640631
award,4.034319578356063
end,3.933651657216451
dignity,3.909415843129099
racial,3.626809929955927
movement,2.7487727689363735
