term,score
world,19.81946075039234
people,18.350374648410618
honour,16.086509742102574
children,13.79830199585603
thank,11.928620091086135
freedom,11.242577620194183
president,9.970206376118545
south,9.754925413032703
africa,9.623934024431748
award,9.50378076443795
country,8.907812506588755
war,8.70933132662146
support,8.593376950902272
life,8.517127659720765
leadership,8.06442900137843
poverty,7.720929960429304
work,7.657214766947709
human,7.222982125760001
respect,7.0372147604941455
south africa,6.970892480980925
occasion,6.744077970602629
commitment,6.710358095564633
hope,6.292128521945345
die,6.265184455292937
today,6.209364748581429
time,6.112560533411709
struggle,6.090543592820941
role,5.906175001889928
society,5.846709237233742
nations,5.845791234936111
opportunity,5.799768459933368
history,5.78588546096856
african,5.741126341738502
ladies,5.712742219360355
able,5.703238316532313
democracy,5.700006537967291
build,5.658742717796156
racial,5.632044838626896
education,5.527796387220152
nation,5.460022859175646
join,5.2944140481904505
make,5.288792759382395
united,5.196052130543218
years,5.02845830021847
ladies gentlemen,5.024562796448618
gentlemen,5.014100115934557
spirit,5.013351734546467
guests,4.9712546030990525
guests ladies,4.906182264551639
distinguished guests,4.810708997887958
privilege,4.728091414637735
pleasure,4.678546126841843
national,4.671969660609456
celebrate,4.655786789967098
countries,4.652912816679654
peace,4.555369094252546
need,4.5361697475907095
general,4.500850070094421
continue,4.499162597706643
future,4.443911992924573
distinguished,4.355992944694817
pride,4.3542791185697345
amongst,4.283084213634539
share,4.256534486986519
honoured,4.221635652379882
lives,4.21672020699411
social,4.203413577275169
leaders,4.135673575094409
organisation,3.9944094663550613
others,3.9048367857998745
continent,3.9023327768145366
international,3.8251442118814936
live,3.8116316092128955
take,3.742533442210045
new,3.7335993134253966
south african,3.6574640498278526
public,3.4826848155779704
even,3.4673368444336847
help,3.4671357151010738
want,3.430115781822129
care,3.359986714571769
welcome,3.347872240812329
communities,3.345659516087686
achievement,3.3322136452483306
place,3.2771604242981756
dignity,3.1865614476093005
still,3.1724656424904065
friends,3.164982518789703
year,3.1499958285515333
fact,3.117529759440246
appreciation,3.0836986773208466
special,3.081228623855278
good,3.0703079469527195
health,3.0487542128864136
political,3.0179726277934487
every,2.9616429299640608
community,2.827155307488206
first,2.8155545312856405
proud,2.756283562876042
efforts,2.7538148309316393
free,2.7409284458191943
towards,2.739812695482352
making,2.732060284715863
justice,2.69673332691202
together,2.5884402061434746
apartheid,2.564837839967648
security,2.5643868281343325
two,2.549853834734722
bring,2.548832297769601
co,2.4738616804205456
long,2.4697514256547177
non,2.4418538273618218
government,2.414941136982481
democratic,2.3962339567913107
shared,2.3615596881873118
operation,2.2963076126510873
opportunities,2.2877333730507847
create,2.284133103418244
parties,2.264314731260939
minister,2.221997063984306
common,2.1790829436885195
therefore,2.167055311034467
women,2.158672132175341
indeed,2.112065999676411
land,2.105013578829471
conflict,2.085677721482041
peaceful,2.079375761860335
confidence,2.0700826413704103
co operation,1.9885396967942914
development,1.973653917620101
vision,1.9733961472224781
process,1.9349960913046038
africans,1.9036975613610534
progress,1.8226681353494323
end,1.796670215454986
rights,1.7920587959484302
resources,1.7413668771857351
van,1.7300670079915152
express,1.696571059071727
economic,1.6839175650175426
anc,1.6542251086055442
committed,1.629536156057168
south africans,1.5923720909365757
southern,1.4743140438361773
violence,1.4671717303728946
partnership,1.4651163971375483
visit,1.4389455024592988
interest,1.394590865858902
order,1.3253558334593958
among,1.3119176165986772
africas,1.288912458521822
crime,1.2813490444527402
strength,1.2564245322141472
het,1.2224498832727628
movement,1.2091470080071007
men,1.1852027727769916
force,1.1690987936060762
system,1.1307745010894883
success,1.10975041600243
take opportunity,1.0656542500434085
conditions,1.0640658520450965
millions,1.039267256030493
forces,0.9762850245626784
humanity,0.9737095123932665
en,0.9468726737726237
peoples,0.8416614468837853
stability,0.8122235971390561
party,0.8118700068367234
right,0.8021584686185341
region,0.7980100461724356
citizens,0.7887745952060604
unity,0.7791400497993608
van die,0.7280682390708832
relations,0.7115204330362304
ensure,0.7107115421096524
ons,0.7101445981233683
human rights,0.695864816350103
building,0.6486009967690016
te,0.595669992525373
om,0.5947858114255844
state,0.5671755859105084
business,0.5352832319514694
including,0.5348525507932055
benefit,0.4977650600039143
growth,0.4832739142477667
people south,0.41760308157762416
contribution,0.4029469052806976
within,0.39067742770223485
economy,0.38541230033440466
honourable,0.3674029673373528
hand,0.3613976323217851
address,0.31703102183210075
wat,0.3161497488474804
