year,term,score
2006,making,0.5877503458684293
2006,place,0.5155763758286274
2006,today,0.4493866237803501
2006,world,0.4321830561073139
2006,ons,1.0
2006,years,1.0
2006,public,1.0
2006,building,0.6326933034480744
2006,nation,0.5806038964705247
2006,national,0.5124434594911003
2006,build,0.5531691493377284
2006,continue,0.5315819674608527
2006,nation,0.4764310407252346
2006,new,0.42946241689453185
2006,en,1.0
2006,today,1.0
2006,minister,0.48884361725639724
2006,young,0.4692007099543386
2006,become,0.4553469926427041
2006,still,0.43100998631218795
2006,political,0.38441139373910144
2006,today,1.0
2006,today,1.0
2006,president,1.0
2006,first,1.0
2006,president,1.0
2006,government,1.0
2006,live,0.5951339744277979
2006,economy,0.537393440609884
2006,today,0.4556852404315051
2006,country,0.38649036744028376
2006,continent,0.5893832953419509
2006,international,0.514928126061771
2006,today,0.4557103622025693
2006,african,0.42403351511829673
2006,congress,1.0
2006,peoples,0.6420966262199808
2006,movement,0.5982389710819866
2006,anc,0.47939759706915946
2006,majority,0.8355428867844688
2006,country,0.5494252308948656
2006,among,1.0
2006,far,0.7310078640641904
2006,challenges,0.6823690370146569
2006,young,1.0
2006,public,0.5092757657532568
2006,life,0.4959943812260414
2006,south african,0.4707946876947563
2006,african,0.40874291225171483
2006,south,0.32543718584546205
2006,amongst,1.0
2006,state,0.7397394282948653
2006,nation,0.6728934374965965
2006,example,1.0
2006,land,0.6752104648987869
2006,south africa,0.4545798686584215
2006,africa,0.42924238108793344
2006,south,0.3914063737084739
2006,south africa,0.6162749233632349
2006,africa,0.5819248359807848
2006,south,0.5306304779244929
2006,meet,0.7331339126862808
2006,among,0.6800843080598938
2006,back,1.0
2006,far,1.0
2006,south africa,0.6162749233632349
2006,africa,0.5819248359807848
2006,south,0.5306304779244929
2006,bring,1.0
2006,public,0.7163863838121826
2006,life,0.6977037688650564
2006,live,0.6042094952137244
2006,experience,0.5935635686822617
2006,every,0.53161374683764
2006,point,0.7719801206603194
2006,need,0.6356466733219632
2006,level,0.4573659091009558
2006,indeed,0.44032302104145593
2006,leadership,0.4362212923329441
2006,international,0.39513795554913317
2006,community,0.3745632427635203
2006,national,0.33198105322967664
2006,issue,0.5581134388395439
2006,rights,0.5051312542129526
2006,human,0.48831512660400217
2006,years,0.4414749625218463
2006,together,0.7071067811865475
2006,work,0.7071067811865475
