term,score,date
world,24.700081842957385,2001
people,16.06324231259957,2001
mandela,14.653574800529846,2001
country,13.16945837756279,2001
africa,11.634792810164534,2001
en,9.967478324049424,2001
society,9.416302177192417,2001
south,9.39442173575899,2001
time,8.936967651045185,2001
always,8.591032504114335,2001
education,8.323474320042719,2001
children,8.27206490394447,2001
leadership,8.264097705070293,2001
even,8.030504821561419,2001
political,7.88391757783695,2001
president,7.692301680347539,2001
example,6.847664971282481,2001
today,6.844843591933284,2001
african,6.687282470392365,2001
life,6.504310217018304,2001
nation,6.438202030284946,2001
development,6.388148955654234,2001
cannot,6.30439345270711,2001
social,6.261761749909517,2001
struggle,6.258128139566047,2001
fact,5.9579282548447114,2001
south africa,5.914125664245555,2001
international,5.787478061570711,2001
leaders,5.743257845391721,2001
national,5.739511290937822,2001
government,5.59446677775516,2001
years,5.517989806196187,2001
human,5.488934119170896,2001
countries,5.464067875243835,2001
continue,5.429455456139863,2001
still,5.122644855450147,2001
long,5.0868140620159235,2001
new,5.015397093437963,2001
major,4.984950856941367,2001
state,4.8545377279036455,2001
work,4.793559453212337,2001
back,4.640162376842612,2001
towards,4.613656660131732,2001
first,4.597423012066574,2001
economic,4.591004145220141,2001
two,4.590663591923641,2001
africans,4.541101224283389,2001
want,4.502852509577897,2001
problems,4.499308336553384,2001
bring,4.288115872640265,2001
