term,score,date
years,5.374672091449318,2007
today,3.969325595211825,2007
people,3.4687565816545973,2007
together,3.2551306032021214,2007
africa,3.1284262898690036,2007
long,2.1765663047705828,2007
make,2.1755095450404482,2007
world,2.0906469954855122,2007
organisation,1.8118348515756202,2007
south africa,1.7326729742676368,2007
time,1.7223114195014277,2007
continent,1.5985592873416312,2007
south,1.4914906971783957,2007
congress,1.4601502469444052,2007
project,1.4227060709784989,2007
possible,1.2226255612194892,2007
resources,1.1280158762820807,2007
country,1.089752868771852,2007
live,1.0859443165213358,2007
every,1.0,2007
fact,1.0,2007
year,1.0,2007
go,1.0,2007
million,1.0,2007
leaders,1.0,2007
change,1.0,2007
president,1.0,2007
order,1.0,2007
always,0.9875127617074464,2007
national,0.9638016303634411,2007
human,0.8267659794472189,2007
african,0.7981014686649652,2007
cannot,0.7731485148574095,2007
indeed,0.7336016683624335,2007
look,0.7075954604481633,2007
forward,0.7066177639665958,2007
given,0.6715571275482307,2007
nation,0.6671681472213875,2007
common,0.649646720519071,2007
going,0.6301883114733482,2007
first,0.6219713085160024,2007
cape,0.6149149129285839,2007
young,0.6136811157915444,2007
build,0.6012809169692681,2007
unity,0.5978855650927553,2007
become,0.5908541282801357,2007
bring,0.5809088595731616,2007
local,0.5688891638331518,2007
task,0.5624954313492846,2007
rights,0.5383945582803232,2007
