term,score,date
children,1.7496370606962954,2008
people,1.0517744348108464,2008
anc,1.0,2008
year,1.0,2008
within,1.0,2008
make,1.0,2008
future,0.9832371619986134,2008
nation,0.861570160081889,2008
non,0.8075187304555725,2008
look,0.7271960935375522,2008
things,0.7166924094119345,2008
common,0.6973894107966624,2008
past,0.5832518320581489,2008
together,0.5563641119276651,2008
youth,0.5409739176365678,2008
world,0.5347526232499797,2008
back,0.5332027723491064,2008
today,0.5305171139248446,2008
change,0.5042830431611379,2008
social,0.4770438883147691,2008
history,0.47368630894530933,2008
leaders,0.44712873957684557,2008
live,0.4458528648489061,2008
take,0.4457440790587228,2008
society,0.4391808423633775,2008
every,0.38617188254641654,2008
country,0.33297569821984757,2008
