term,score,date
years,4.902556786245434,2007
today,4.853837302039754,2007
long,3.490738257717538,2007
together,3.277448779322856,2007
time,3.24729063279672,2007
africa,3.21835906061424,2007
people,2.638883611553842,2007
national,1.742828918932616,2007
south,1.6798463128710572,2007
world,1.6254860893088323,2007
continent,1.6146560895558166,2007
problems,1.6121757023243222,2007
make,1.4570720319155368,2007
take,1.3998238316744671,2007
possible,1.396498527509026,2007
south africa,1.2940686185464187,2007
resources,1.1314415539877531,2007
address,1.0182101617976165,2007
high,1.0,2007
go,1.0,2007
million,1.0,2007
leaders,1.0,2007
president,1.0,2007
every,1.0,2007
fact,1.0,2007
order,1.0,2007
year,1.0,2007
change,1.0,2007
work,0.9744528954338065,2007
country,0.8918313677018792,2007
liberation,0.8910636723208294,2007
human,0.8233451980778993,2007
live,0.7771639027301451,2007
organisation,0.7710127000580901,2007
struggle,0.7681338490219533,2007
cannot,0.7485817800810163,2007
indeed,0.741513693085352,2007
society,0.7111889597069567,2007
look,0.7076326236958954,2007
forward,0.7065805473413934,2007
campaign,0.6497178070949909,2007
common,0.6457270732716364,2007
use,0.6301455607126282,2007
potential,0.6291566096962304,2007
first,0.6274640904207293,2007
going,0.6257506942527743,2007
cape,0.6195636594916384,2007
democratic,0.6156814223999801,2007
young,0.6120032168347522,2007
new,0.603979106329209,2007
