term,score,date
people,25.501010660687527,1999
world,22.873926656280744,1999
south,21.704633131691022,1999
freedom,20.149937577369872,1999
africa,16.998251035767467,1999
peace,15.895027938928132,1999
honour,14.759779668624134,1999
democracy,14.494480454858268,1999
hope,14.457664711973162,1999
support,14.26793968034052,1999
south africa,14.080577694922459,1999
life,12.593735263794795,1999
nation,11.885175881786404,1999
country,11.439478772191457,1999
thank,10.412510671533317,1999
lives,9.944519582273363,1999
women,9.739019360936956,1999
international,9.707222417915814,1999
today,9.649829929756,1999
south africans,9.599385089302448,1999
die,9.528985670522337,1999
commitment,9.459210459818543,1999
africans,9.389677988620527,1999
men,9.349075071756245,1999
progress,9.284612844309065,1999
take,8.836839006401384,1999
society,8.82419110752176,1999
countries,8.797747321246074,1999
government,8.139700563313246,1999
respect,8.028853204655178,1999
community,7.852000036397637,1999
special,7.6997594952696184,1999
free,7.64153554339486,1999
amongst,7.553356606218165,1999
justice,7.544017125952776,1999
united,7.498307164735076,1999
long,7.329749194529597,1999
years,7.311972026554867,1999
friends,7.126544665163691,1999
peaceful,7.092160367043166,1999
human,7.087634064141935,1999
indeed,7.087275840670032,1999
help,7.046612999631867,1999
development,6.881337352544679,1999
democratic,6.852384106079689,1999
still,6.846100326567277,1999
crime,6.7715964176562276,1999
first,6.766166319519309,1999
leaders,6.763198875325466,1999
make,6.632988861270435,1999
