term,score,date
violence,32.15120726859918,1992
people,31.073967371830566,1992
country,20.126754302720787,1992
freedom,17.228521163060382,1992
south,16.015392273845087,1992
peace,15.75629436064213,1992
anc,15.431884848874502,1992
africa,12.753105945593154,1992
government,11.956549622334787,1992
political,11.918991661947523,1992
support,11.657973410529582,1992
apartheid,11.4834576679311,1992
south africa,10.916879585929115,1992
state,10.093340448431242,1992
take,7.924180148554628,1992
democratic,7.88507194335712,1992
african,7.874221971505772,1992
free,7.654560582584186,1992
international,7.586813929259663,1992
opportunity,7.5212876241669315,1992
democracy,7.1561382838016065,1992
non,7.087677580625905,1992
world,6.773773675562465,1992
human,6.762953369005891,1992
process,6.748635169398664,1992
today,6.636871606628902,1992
forces,6.52686136021067,1992
national,6.504637142425495,1992
president,6.50406768562574,1992
want,6.16548058098343,1992
south african,6.066314973874776,1992
party,6.042216726840494,1992
life,6.029361895400715,1992
end,5.975396431131023,1992
society,5.96814049774684,1992
racial,5.967360908845456,1992
ensure,5.895362072103145,1992
security,5.877125954878603,1992
honour,5.834335903753477,1992
war,5.750871904157807,1992
continue,5.619533634213129,1992
need,5.597516289875286,1992
help,5.550260536336939,1992
create,5.42590979250391,1992
lives,5.327623753233484,1992
appreciation,5.291593679019961,1992
address,5.114673937549087,1992
community,4.948656455758478,1992
pleasure,4.946829665281179,1992
even,4.878690090291333,1992
