term,score,date
south,67.76305813042207,1996
die,66.27401274752255,1996
africa,57.016893604541714,1996
people,51.37283469750499,1996
freedom,48.98535853768356,1996
country,46.01493631837533,1996
peace,45.34657573375431,1996
life,45.14919068572415,1996
south africa,44.48918797410687,1996
nation,42.80326092818499,1996
crime,41.63358269020506,1996
development,39.053596709583516,1996
today,35.854381577875614,1996
ensure,35.333813947567585,1996
government,32.9310030466333,1996
good,32.03506309882577,1996
growth,31.138709275550745,1996
hope,30.152772637645658,1996
past,28.54804842446587,1996
future,28.427456518837793,1996
new,28.109995345067432,1996
opportunity,27.970264726589974,1996
honour,27.92625703831945,1996
success,26.836831223379583,1996
society,26.559762295123114,1996
struggle,26.423941870927955,1996
welcome,26.361355337322074,1996
van,25.921410459726594,1996
help,25.820522248323908,1996
proud,24.704254089398454,1996
democracy,24.61873701219021,1996
children,24.55646969796457,1996
time,24.333810673269255,1996
anc,24.32660636411559,1996
africans,23.68406773402621,1996
challenges,23.590008051707258,1996
national,23.525824018749613,1996
work,23.308486816984374,1996
justice,23.14713792384344,1996
make,23.11392096806119,1996
special,23.001236457660003,1996
support,22.88982228118829,1996
violence,22.353321974151523,1996
political,22.229888383995668,1996
take,21.60043085519494,1996
together,21.486970575520495,1996
join,20.95680956212749,1996
south africans,20.846999459537948,1996
opportunities,20.59787012782436,1996
thank,20.55355896169682,1996
