term,score,date
children,16.638556217006983,2003
thank,16.260879028699183,2003
people,13.30771314979378,2003
war,12.692043751253447,2003
work,12.67885752985512,2003
country,10.380026899501827,2003
freedom,10.087310602321836,2003
life,10.076458733883877,2003
make,9.410575701088723,2003
world,9.404377929373563,2003
future,9.344662792497388,2003
even,8.948673012781747,2003
society,8.558314291135932,2003
always,8.287349701021064,2003
honour,8.228569119875516,2003
care,8.065045165433476,2003
human,7.997455129326551,2003
support,7.869348530608883,2003
lives,7.762271265498525,2003
good,7.667668276907735,2003
respect,7.527572309900568,2003
hope,7.454923574956398,2003
spirit,7.175896726448353,2003
special,7.10657997254169,2003
peace,6.920925245951366,2003
death,6.760428849441646,2003
women,6.6541014354418415,2003
struggle,6.651296574638422,2003
prison,6.403888095964453,2003
fight,6.356527679330531,2003
proud,6.289887816103281,2003
help,6.117980020022938,2003
opportunity,6.07375499635249,2003
suffering,6.071560158394938,2003
together,6.0304570643277895,2003
opportunities,5.915582105097724,2003
award,5.882514597374863,2003
south,5.810068665579601,2003
long,5.792966658594362,2003
confidence,5.78718570594304,2003
greatest,5.662011041261287,2003
want,5.52513075224103,2003
years,5.433366365415306,2003
building,5.383674341177857,2003
greater,5.278353963657174,2003
cannot,5.238451084808813,2003
nation,5.105027952046051,2003
national,4.985549714013944,2003
join,4.947724165924405,2003
celebrate,4.915594435280628,2003
