term,score,date
mandela,30.709498152658714,1962
conference,12.210432577617775,1962
government,11.029318143702746,1962
african,10.879652354983627,1962
white,9.570208348014065,1962
country,9.067230800002267,1962
south,7.739813325177598,1962
people,7.065723663843095,1962
congress,5.560950989622443,1962
africa,5.046825561246047,1962
south africa,4.998070326694949,1962
political,4.6636666719961095,1962
africans,4.650428404779914,1962
action,4.487648874550766,1962
going,4.170905688235792,1962
south african,3.9590073728588666,1962
national,3.807952852128487,1962
areas,3.57589127360923,1962
years,3.437788684663759,1962
time,3.377313106965843,1962
council,3.3268415823536706,1962
right,3.309800795525158,1962
parliament,3.14438646697495,1962
question,3.100310372721516,1962
go,3.0956844638052563,1962
life,2.90844819665197,1962
two,2.7000126290540365,1962
general,2.698281264527721,1962
make,2.5712653291950165,1962
act,2.5404377338960047,1962
organisations,2.5138827738898017,1962
issues,2.41684766089989,1962
organisation,2.1591222717740393,1962
order,2.1473446315594518,1962
another,2.09933531696043,1962
set,2.090415803245407,1962
situation,2.0760267186604326,1962
rights,2.0496241361504173,1962
call,2.0237914550500617,1962
world,1.8814397179625497,1962
take,1.8624611902514525,1962
elected,1.8388708755200085,1962
history,1.8129327877701438,1962
point,1.7544054810288556,1962
whole,1.5893793899676323,1962
given,1.5718180320911674,1962
making,1.4589378896795355,1962
black,1.4419294130375517,1962
past,1.4108666097517604,1962
democratic,1.3881882285171756,1962
