term,score,date
political,3.2364806599862903,2010
hope,3.145731934864646,2010
strong,3.0358918506569212,2010
struggle,2.5238519784518987,2010
success,1.877759681868901,2010
today,1.6850409185022275,2010
problems,1.5713902582209587,2010
years,1.5108166212827219,2010
people,1.4965572908177167,2010
life,1.3386600180113444,2010
crime,1.1903314586798035,2010
join,1.1570458114211806,2010
society,1.050391267906833,2010
accept,1.0,2010
dear,1.0,2010
common,1.0,2010
fear,1.0,2010
growth,1.0,2010
enjoy,0.9991239405872252,2010
thank,0.993896240727514,2010
together,0.9040338951177184,2010
achieved,0.7762617534044032,2010
indeed,0.7722744959747333,2010
peace,0.7502662245629926,2010
even,0.7440947522821894,2010
work,0.7144698709494772,2010
need,0.6987977493546648,2010
support,0.6680740974069471,2010
celebrate,0.6615357971496251,2010
hands,0.6523338161959823,2010
past,0.6454698385242987,2010
spirit,0.6300391866427667,2010
continent,0.6252616688505535,2010
efforts,0.6110443950008331,2010
vision,0.5899899096187717,2010
build,0.5823496174174613,2010
violence,0.5809572749899297,2010
good,0.5634253637866753,2010
committed,0.5466720623081204,2010
care,0.5459953704822599,2010
health,0.5407777931205134,2010
welcome,0.5353887546719265,2010
commitment,0.5123926296015894,2010
opportunity,0.48372279174947397,2010
free,0.47079650055837774,2010
communities,0.41662845125067927,2010
parties,0.407845855617841,2010
others,0.4053717123625713,2010
want,0.40421246994246945,2010
conflict,0.35469975975434764,2010
