term,score,date
south,53.948736242754656,1994
country,46.44371666708637,1994
people,46.02538241277934,1994
africa,45.62484605422579,1994
freedom,40.454344598841345,1994
peace,38.61329232377221,1994
government,34.97595179912738,1994
south africa,33.5253985100279,1994
problems,30.518952679577403,1994
ensure,30.14739763888513,1994
life,27.73638004750691,1994
thank,26.901801061350643,1994
violence,25.963938799983517,1994
new,25.346759558604735,1994
national,24.976001784347268,1994
democracy,24.80043032691688,1994
free,24.51908113185473,1994
past,23.745336320447567,1994
hope,23.663559886085622,1994
human,23.29382142015076,1994
anc,22.177984515340803,1994
help,21.690589761434406,1994
apartheid,21.532757814363702,1994
today,21.503678074496012,1994
success,21.09346778590766,1994
confidence,20.860737865947616,1994
years,20.334814070776304,1994
role,20.266190580830102,1994
support,18.724190244247577,1994
community,18.720749845083137,1994
political,18.36969167659231,1994
african,18.25658530971544,1994
economic,18.123437910071274,1994
struggle,17.390628743952373,1994
world,17.29857429280938,1994
want,16.965956204225275,1994
together,16.799674469871096,1994
opportunities,16.702996842319052,1994
security,16.6707156849293,1994
share,16.489817048082852,1994
africans,16.449075417166885,1994
among,15.993272029351585,1994
growth,15.96415749289161,1994
nation,15.929719670958303,1994
even,15.843817184166575,1994
challenge,15.724832944486185,1994
make,15.626984471514731,1994
time,15.57241530966229,1994
justice,15.552433184450473,1994
south africans,15.541177340333537,1994
