term,score,date
die,46.32764928223904,1997
south,44.94005159724236,1997
people,42.92197470930293,1997
freedom,36.89815205596732,1997
peace,34.993598603950794,1997
development,33.412491375081004,1997
africa,31.413834143569147,1997
country,29.364200527200637,1997
government,28.36210066891815,1997
new,26.46398944458382,1997
van,26.39109751989757,1997
nation,25.65520836441967,1997
south africa,25.168530497797406,1997
president,23.656598187175426,1997
support,23.497278854646524,1997
world,22.086459957829693,1997
growth,21.48019570364996,1997
national,21.015791182551137,1997
ensure,20.841815841605122,1997
good,20.819634705797704,1997
success,20.78673493823816,1997
nations,19.94666683594841,1997
region,19.88826373737217,1997
honour,19.76824507850099,1997
ladies gentlemen,19.46075181019957,1997
gentlemen,19.420208037666495,1997
ladies,19.340221263741512,1997
african,18.831900285862936,1997
en,18.254352453265692,1997
thank,18.18044319172129,1997
economic,18.128707578563915,1997
today,18.067610427869734,1997
democracy,18.010583835800738,1997
prosperity,17.78682434806514,1997
relations,17.661514017765256,1997
countries,17.654693262659528,1997
help,17.172166031888644,1997
work,17.00106400313643,1997
life,16.67127065753123,1997
opportunity,16.619336562706838,1997
join,16.43558622022547,1997
years,16.34810008362513,1997
guests,16.312443168818124,1997
pleasure,16.066822021011433,1997
community,15.617617143811962,1997
ons,15.591017561618722,1997
co,15.520850780832307,1997
distinguished,15.511531616692704,1997
take,15.506573285001744,1997
children,15.226157515837485,1997
