term,combined score,date,score category
african,22.540727598191868,1996,unique neutral score
en,21.727302394388417,1996,unique neutral score
pleasure,20.656307026026692,1996,unique neutral score
ons,19.78721849374557,1996,unique neutral score
president,19.609040263476565,1996,unique neutral score
world,18.68521193827,1996,unique neutral score
years,18.53469493414033,1996,unique neutral score
gentlemen,18.286432354715128,1996,unique neutral score
community,16.79287358763923,1996,unique neutral score
leaders,16.733898096612013,1996,unique neutral score
struggle,26.423941870927955,1996,unique high sentiment score
help,25.820522248323908,1996,unique high sentiment score
challenges,23.590008051707255,1996,unique high sentiment score
make,23.11392096806119,1996,unique high sentiment score
special,23.001236457660003,1996,unique high sentiment score
violence,22.353321974151523,1996,unique high sentiment score
join,20.95680956212749,1996,unique high sentiment score
south africans,20.846999459537948,1996,unique high sentiment score
opportunities,20.59787012782436,1996,unique high sentiment score
thank,20.55355896169682,1996,unique high sentiment score
