term,combined score,date,score category
victory,1.704492697801565,1986,unique high sentiment score
cannot,1.0,1986,unique high sentiment score
share,0.7555300800684293,1986,unique high sentiment score
oppression,0.7097112361688186,1986,unique high sentiment score
always,0.6699205510757781,1986,unique high sentiment score
today,0.655113958110948,1986,unique high sentiment score
together,0.5662405019206876,1986,unique high sentiment score
strength,0.5377471815109639,1986,unique high sentiment score
death,0.5341442144866244,1986,unique high sentiment score
struggle,0.4801855362575321,1986,unique high sentiment score
new,0.4614963192869137,1986,unique high sentiment score
free,0.4610196028284614,1986,unique high sentiment score
